hispanic,white,black,native,multiple,CENSUS_TRACT,api,tract,state,county
581,3168,492,6,204,37021001300,4650,001300,37,021
802,3574,341,30,192,37021001401,388,001401,37,021
902,1044,362,3,84,37021001402,2417,001402,37,021
340,1851,100,9,121,37021001500,633,001500,37,021
127,3079,40,1,115,37021001601,341,001601,37,021
207,2961,87,7,143,37021001602,467,001602,37,021
74,2659,29,2,88,37021001700,231,001700,37,021
153,2540,548,12,165,37021001801,544,001801,37,021
189,3925,215,3,215,37021001802,753,001802,37,021
242,2961,182,6,135,37021001900,689,001900,37,021
554,4673,1366,13,384,37021002000,620,002000,37,021
42,1363,12,0,36,37021002101,150,002101,37,021
1073,3404,708,25,270,37021002102,1144,002102,37,021
1690,3515,943,30,292,37021002203,1146,002203,37,021
678,7832,473,16,405,37021002204,35713,002204,37,021
380,5572,382,10,296,37021002205,10326,002205,37,021
255,4176,248,11,200,37021002206,1087,002206,37,021
542,5308,282,17,261,37021002303,26212,002303,37,021
124,1404,16,2,83,37021002304,400,002304,37,021
360,5160,105,16,209,37021002305,800,002305,37,021
400,3104,142,9,141,37021002306,591,002306,37,021
278,3025,31,13,163,37021002401,191,002401,37,021
809,4417,86,9,249,37021002402,3623,002402,37,021
579,3441,82,30,187,37021002503,160,002503,37,021
260,4456,125,14,222,37021002504,251,002504,37,021
394,4357,175,6,165,37021002505,343,002505,37,021
560,2815,221,7,238,37021002506,2081,002506,37,021
191,3349,51,13,137,37021002603,120,002603,37,021
348,5885,63,30,320,37021002604,705,002604,37,021
600,3210,122,8,167,37021002606,240,002606,37,021
503,3603,127,12,190,37021002607,470,002607,37,021
550,4101,191,10,216,37021002608,6428,002608,37,021
88,1105,25,3,56,37021002609,52,002609,37,021
428,3457,226,12,156,37021002701,660,002701,37,021
233,4072,62,22,178,37021002702,421,002702,37,021
164,4344,61,17,186,37021002704,286,002704,37,021
42,1280,5,11,43,37021002705,30,002705,37,021
668,3482,51,14,153,37021002803,201,002803,37,021
317,4754,47,8,164,37021002804,260,002804,37,021
121,3535,34,6,138,37021002900,150,002900,37,021
624,5870,288,34,355,37021003002,478,003002,37,021
309,4645,258,12,251,37021003003,674,003003,37,021
113,2312,42,3,100,37021003004,270,003004,37,021
87,1684,56,0,88,37021003103,190,003103,37,021
224,3925,201,28,173,37021003105,260,003105,37,021
85,1474,62,2,51,37021003106,20,003106,37,021
332,3297,150,12,182,37021003107,321,003107,37,021
129,2086,127,17,81,37021003108,160,003108,37,021
105,1564,19,0,58,37021003201,150,003201,37,021
204,4192,139,13,190,37021003202,810,003202,37,021
429,5103,165,26,269,37021003203,510,003203,37,021
240,5311,61,12,231,37021003204,307,003204,37,021
37,1573,7,3,61,37021003205,64,003205,37,021
243,3298,290,13,123,37023020100,698,020100,37,023
241,3427,385,17,176,37023020202,1030,020202,37,023
67,2421,205,3,120,37023020203,240,020203,37,023
70,2187,356,8,128,37023020204,290,020204,37,023
164,3534,430,21,160,37023020301,3573,020301,37,023
198,3908,137,4,168,37023020303,2672,020303,37,023
79,2414,33,10,78,37023020304,1120,020304,37,023
651,1843,305,7,101,37023020500,460,020500,37,023
1997,3352,594,20,235,37023020600,10413,020600,37,023
324,4097,282,19,204,37023020801,2781,020801,37,023
157,2658,120,9,143,37023020802,1399,020802,37,023
126,3229,40,3,96,37023020901,924,020901,37,023
99,2979,72,1,125,37023020902,1216,020902,37,023
214,4308,64,17,218,37023021000,3250,021000,37,023
367,4885,91,17,188,37023021100,3632,021100,37,023
161,3137,40,8,97,37023021201,1150,021201,37,023
177,3349,39,4,126,37023021202,2050,021202,37,023
90,3593,52,9,118,37023021203,1470,021203,37,023
365,4122,656,25,186,37023021301,685,021301,37,023
98,3030,29,12,154,37023021302,550,021302,37,023
1296,2893,542,11,187,37023021400,13111,021400,37,023
2155,4196,2465,33,459,37025040501,12312,040501,37,025
540,4015,775,21,220,37025040502,520,040502,37,025
404,5234,295,14,222,37025040600,521,040600,37,025
274,1213,236,9,67,37025040701,90,040701,37,025
500,1222,1086,4,91,37025040703,482,040703,37,025
556,1550,1356,6,148,37025040704,540,040704,37,025
504,1640,1135,7,165,37025040705,430,040705,37,025
693,2188,1032,7,165,37025040800,276,040800,37,025
236,1362,433,5,82,37025040900,250,040900,37,025
657,1998,636,19,107,37025041001,442,041001,37,025
691,1292,717,13,95,37025041002,512,041002,37,025
1004,4603,1284,12,304,37025041100,1120,041100,37,025
289,2387,513,8,112,37025041201,600,041201,37,025
453,3875,1232,29,216,37025041202,2027,041202,37,025
473,5223,873,15,349,37025041301,6223,041301,37,025
715,4089,1481,17,356,37025041304,192115,041304,37,025
188,1838,255,13,112,37025041305,2701,041305,37,025
474,2341,1271,13,176,37025041306,19500,041306,37,025
465,3792,1290,10,292,37025041307,14303,041307,37,025
553,3212,1698,22,231,37025041503,3342,041503,37,025
297,2975,778,20,159,37025041504,1534,041504,37,025
373,4340,1655,24,299,37025041505,13612,041505,37,025
363,3228,1059,10,233,37025041506,3760,041506,37,025
587,2538,492,16,177,37025041507,6022,041507,37,025
247,2942,134,9,130,37025041602,350,041602,37,025
432,3729,527,15,190,37025041603,491,041603,37,025
274,3447,302,26,148,37025041604,536,041604,37,025
102,3827,135,26,139,37025041701,150,041701,37,025
84,3191,47,15,83,37025041702,240,041702,37,025
974,546,502,4,46,37025041901,00,041901,37,025
1406,1777,925,5,193,37025041902,224,041902,37,025
1046,3058,1238,5,230,37025042000,801,042000,37,025
967,510,1877,5,112,37025042101,30,042101,37,025
612,2045,814,6,153,37025042102,256,042102,37,025
397,2066,352,7,153,37025042201,301,042201,37,025
379,3480,516,4,151,37025042202,294,042202,37,025
723,2721,1165,15,209,37025042300,543,042300,37,025
346,2725,398,4,113,37025042401,793,042401,37,025
1079,2260,2058,30,268,37025042402,1154,042402,37,025
472,3434,459,10,174,37025042501,1772,042501,37,025
418,1459,631,9,114,37025042502,718,042502,37,025
724,3442,1183,5,271,37025042503,2665,042503,37,025
89,1214,117,3,39,37025042504,311,042504,37,025
380,4151,691,13,208,37025042601,1431,042601,37,025
1431,2021,981,14,130,37025042602,1750,042602,37,025
872,5819,1832,11,379,37025042603,2476,042603,37,025
365,3566,756,10,223,37025042604,2892,042604,37,025
986,3080,1179,12,265,37027030100,355,030100,37,027
437,3979,558,11,188,37027030200,60,030200,37,027
286,2673,630,10,142,37027030300,291,030300,37,027
451,3551,315,11,160,37027030400,460,030400,37,027
225,4070,238,7,148,37027030500,732,030500,37,027
338,3853,58,13,126,37027030600,260,030600,37,027
252,6055,102,21,233,37027030700,100,030700,37,027
149,3182,35,11,124,37027030801,180,030801,37,027
283,3493,119,3,173,37027030802,132,030802,37,027
112,4289,74,7,156,37027030900,303,030900,37,027
67,2588,19,2,105,37027031000,100,031000,37,027
126,3852,88,10,168,37027031100,140,031100,37,027
88,3978,31,21,139,37027031201,270,031201,37,027
222,3881,52,11,135,37027031202,220,031202,37,027
133,3968,76,5,130,37027031301,680,031301,37,027
149,3679,65,10,142,37027031302,240,031302,37,027
143,2810,27,15,159,37027031401,230,031401,37,027
211,3017,91,12,134,37027031402,370,031402,37,027
265,1870,86,4,85,37027031403,162,031403,37,027
208,4505,630,25,297,37029950101,471,950101,37,029
132,3695,419,15,238,37029950102,710,950102,37,029
26,807,8,3,17,37031970101,00,970101,37,031
38,2106,50,11,61,37031970102,62,970102,37,031
